year,pick,player_name,position,college,projected_team,source
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,J.J. McCarthy,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,JC Latham,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Michael Penix Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Quinyon Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Brian Thomas Jr.,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Darius Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Ennis Rakestraw Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,J.J. McCarthy,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,Drake Maye,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,Taliese Fuaga,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Michael Penix Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Olumuyiwa Fashanu,,MOCK TRADE from IND,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Quinyon Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Nate Wiggins,,MOCK TRADE from MIA,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Adonai Mitchell,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Xavier Worthy,,MOCK TRADE from BUF,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Braden Fiske,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,J.J. McCarthy,,MOCK TRADE from ARI,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,Quinyon Mitchell,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Jared Verse,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Kingsley Suamataia,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Ja'Lynn Polk,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Jayden Daniels,,MOCK TRADE from NYG,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,J.J. McCarthy,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Quinyon Mitchell,,MOCK TRADE from LV,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Max Melton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Tyler Nubin,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,Drake Maye,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,J.J. McCarthy,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,JC Latham,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,Quinyon Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Brian Thomas Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Byron Murphy II,,MOCK TRADE from HOU,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Darius Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Ennis Rakestraw Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Ladd McConkey,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,1,Caleb Williams,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,2,Jayden Daniels,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,3,J.J. McCarthy,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,4,Marvin Harrison Jr.,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,5,Drake Maye,,MOCK TRADE from LAC,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,6,Malik Nabers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,7,Joe Alt,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,8,Dallas Turner,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,9,Rome Odunze,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,10,Taliese Fuaga,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,11,Quinyon Mitchell,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,12,Jared Verse,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,13,JC Latham,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,14,Olumuyiwa Fashanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,15,Brock Bowers,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,16,Troy Fautanu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,17,Terrion Arnold,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,18,Byron Murphy II,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,19,Laiatu Latu,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,20,Jackson Powers-Johnson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,21,Johnny Newton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,22,Amarius Mims,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,23,Brian Thomas Jr.,,MOCK TRADE from MIN,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,24,Tyler Guyton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,25,Cooper DeJean,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,26,Graham Barton,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,27,Kool-Aid McKinstry,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,28,Adonai Mitchell,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,29,Chop Robinson,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,30,Ladd McConkey,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,31,Jordan Morgan,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
2024,32,Nate Wiggins,,,,https://web.archive.org/web/20240418163907/https://www.cbssports.com/nfl/draft/mock-draft/
